RPM    CT       CP
2763   0.1137   0.0481
3062   0.1152   0.0482
3310   0.1152   0.0481
3622   0.1158   0.0480
3874   0.1159   0.0480
4153   0.1163   0.0480
4422   0.1170   0.0481
4687   0.1176   0.0482
4942   0.1175   0.0481
5226   0.1184   0.0484
5473   0.1189   0.0484
5736   0.1190   0.0484
6026   0.1192   0.0484
6285   0.1192   0.0483
6554   0.1195   0.0483
6768   0.1199   0.0483

4008 RPM
J       CT       CP       eta
0.162   0.0980   0.0465   0.342
0.200   0.0924   0.0455   0.407
0.243   0.0865   0.0447   0.470
0.283   0.0805   0.0436   0.523
0.330   0.0726   0.0421   0.568
0.366   0.0661   0.0407   0.595
0.412   0.0572   0.0385   0.613
0.441   0.0515   0.0369   0.616
0.487   0.0415   0.0339   0.596
0.535   0.0306   0.0307   0.534
0.574   0.0209   0.0275   0.435
0.599   0.0142   0.0254   0.335
0.646   0.0013   0.0212   0.040
0.689   -0.0107   0.0170   -0.434
0.729   -0.0218   0.0130   -1.218
0.776   -0.0363   0.0077   -3.638

5013 RPM
J       CT       CP       eta
0.128   0.1033   0.0467   0.283
0.160   0.0983   0.0459   0.344
0.192   0.0939   0.0454   0.399
0.228   0.0886   0.0444   0.454
0.259   0.0838   0.0436   0.498
0.295   0.0782   0.0427   0.541
0.326   0.0727   0.0416   0.569
0.361   0.0663   0.0402   0.595
0.387   0.0613   0.0389   0.609
0.421   0.0543   0.0370   0.617
0.459   0.0462   0.0348   0.610
0.486   0.0400   0.0330   0.589
0.518   0.0325   0.0307   0.547
0.547   0.0252   0.0286   0.482
0.584   0.0153   0.0256   0.351
0.615   0.0070   0.0228   0.188
0.646   -0.0015   0.0201   -0.047

6004 RPM
J       CT       CP       eta
0.455   0.0445   0.0337   0.600
0.483   0.0380   0.0319   0.576
0.509   0.0316   0.0301   0.533
0.540   0.0237   0.0278   0.460
0.566   0.0168   0.0257   0.369
0.593   0.0094   0.0235   0.237
0.615   0.0033   0.0216   0.094
0.651   -0.0069   0.0184   -0.245
0.682   -0.0156   0.0156   -0.681
0.710   -0.0240   0.0129   -1.318
0.734   -0.0312   0.0104   -2.201
0.753   -0.0376   0.0082   -3.436

6029 RPM
J       CT       CP       eta
0.105   0.1065   0.0466   0.240
0.134   0.1023   0.0461   0.298
0.160   0.0985   0.0455   0.346
0.188   0.0943   0.0448   0.396
0.216   0.0899   0.0441   0.441
0.243   0.0857   0.0434   0.480
0.270   0.0813   0.0426   0.515
0.295   0.0771   0.0419   0.543
0.321   0.0726   0.0410   0.568
0.352   0.0667   0.0397   0.592
0.382   0.0607   0.0381   0.608
0.404   0.0564   0.0371   0.614
0.432   0.0501   0.0353   0.613
0.457   0.0446   0.0337   0.603
0.481   0.0387   0.0321   0.580
0.512   0.0308   0.0299   0.528
0.539   0.0239   0.0279   0.462

6815 RPM
J       CT       CP       eta
0.092   0.1076   0.0462   0.214
0.119   0.1041   0.0459   0.270
0.141   0.1005   0.0451   0.315
0.168   0.0969   0.0448   0.365
0.191   0.0933   0.0440   0.404
0.216   0.0893   0.0433   0.445
0.239   0.0859   0.0429   0.478
0.262   0.0820   0.0424   0.507
0.286   0.0776   0.0415   0.535
0.308   0.0733   0.0405   0.558
0.332   0.0690   0.0396   0.579
0.355   0.0644   0.0384   0.594
0.378   0.0599   0.0373   0.607
0.405   0.0540   0.0358   0.610
0.427   0.0489   0.0344   0.607
0.451   0.0435   0.0330   0.593
0.474   0.0379   0.0315   0.571

6819 RPM
J       CT       CP       eta
0.402   0.0548   0.0361   0.611
0.428   0.0489   0.0345   0.607
0.453   0.0428   0.0328   0.591
0.475   0.0376   0.0314   0.569
0.497   0.0321   0.0299   0.533
0.520   0.0258   0.0281   0.478
0.547   0.0191   0.0262   0.398
0.568   0.0134   0.0245   0.311
0.592   0.0067   0.0226   0.175
0.622   -0.0019   0.0201   -0.058
0.644   -0.0080   0.0182   -0.284
0.670   -0.0156   0.0158   -0.661
0.690   -0.0215   0.0140   -1.059
0.717   -0.0297   0.0113   -1.881
0.740   -0.0369   0.0088   -3.103
0.760   -0.0430   0.0068   -4.787
