 
# QPROP Version 1.22
# 
# APC 9x47sf                                                                      
# 
# Wundermotor                                                                     
#   0.10000E-05  R0     (Ohms)                  
#   0.10000E-05  Io0    (Amps)                  
#    3800.0      Kv     (rpm/Volt)              
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#  15.620   6029.      0.000 -0.7208      0.1211E-01   7.645       1.587    4.8186   1.0000  -1.4726   0.21645 -0.5506E-02  0.8092E-03  -0.9465  -1.4726   7.645      -11.26      -0.1164  0.7273E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0210  0.0158  25.625  -0.2702  0.50985    22243  0.060   1.0363  -4.7457   15.38      -1.011      0.2089    
   0.0248  0.0175  26.199  -0.2814  0.36395    26702  0.065   1.0404  -6.3759   15.30      -1.135      0.2080    
   0.0286  0.0192  26.149  -0.2881  0.27014    31486  0.070   1.0449 -13.2186   15.22      -1.241      0.2071    
   0.0325  0.0206  25.695  -0.2923  0.20954    36535  0.076   1.0498  99.0000   15.13      -1.334      0.2062    
   0.0363  0.0219  24.956  -0.2948  0.17014    41784  0.081   1.0551  12.7595   15.05      -1.415      0.2052    
   0.0401  0.0231  24.004  -0.2963  0.14431    47168  0.087   1.0607   7.8480   14.95      -1.488      0.2041    
   0.0439  0.0240  22.883  -0.2973  0.12729    52600  0.093   1.0666   6.4510   14.86      -1.553      0.2029    
   0.0477  0.0249  21.625  -0.2628  0.08482    58005  0.100   1.0633   3.4178   14.87      -1.411      0.2036    
   0.0515  0.0255  20.259  -0.2267  0.07750    63296  0.106   1.0583   4.6718   14.91      -1.244      0.2045    
   0.0553  0.0260  18.964  -0.2025  0.07224    68381  0.112   1.0554   7.2655   14.92      -1.131      0.2051    
   0.0591  0.0263  17.822  -0.1803  0.06783    73168  0.119   1.0523  21.1116   14.95      -1.021      0.2057    
   0.0629  0.0264  16.806  -0.1603  0.06415    77564  0.126   1.0489 -17.0295   14.98     -0.9161      0.2064    
   0.0667  0.0264  15.897  -0.1421  0.06109    81474  0.132   1.0455  -5.4370   15.02     -0.8166      0.2070    
   0.0705  0.0261  15.079  -0.1256  0.05857    84797  0.139   1.0419  -3.0083   15.06     -0.7231      0.2077    
   0.0743  0.0257  14.339  -0.1105  0.05652    87431  0.145   1.0383  -1.9567   15.10     -0.6350      0.2085    
   0.0781  0.0251  13.667  -0.0967  0.05489    89277  0.152   1.0346  -1.3728   15.14     -0.5526      0.2092    
   0.0819  0.0243  13.055  -0.0839  0.05366    90236  0.159   1.0309  -1.0030   15.19     -0.4757      0.2100    
   0.0857  0.0233  12.494  -0.0720  0.05280    90195  0.166   1.0271  -0.7487   15.24     -0.4040      0.2107    
   0.0896  0.0221  11.978  -0.0609  0.05234    89042  0.173   1.0235  -0.5639   15.29     -0.3375      0.2115    
   0.0934  0.0207  11.504  -0.0504  0.05229    86673  0.179   1.0198  -0.4241   15.34     -0.2758      0.2122    
   0.0972  0.0190  11.047  -0.0420  0.05283    82969  0.186   1.0169  -0.3268   15.38     -0.2275      0.2129    
   0.1010  0.0172  10.516  -0.0432  0.05463    77819  0.193   1.0179  -0.3064   15.36     -0.2334      0.2126    
   0.1048  0.0152   9.902  -0.0545  0.05820    71089  0.200   1.0239  -0.3431   15.27     -0.3000      0.2114    
   0.1086  0.0128   9.213  -0.0744  0.06482    61951  0.207   1.0364  -0.4022   15.10     -0.4361      0.2089    
   0.1124  0.0076   8.456  -0.0935  0.07960    38032  0.214   1.0480  -0.3862   14.94     -0.5517      0.2065    
